instancia;cruzamento;mutacao;execucao;fitness;limite_otimo;erro_relativo_percentual
instances/gr17.tsp;0.95;0.3;1;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;2;2154;2085;3.3094
instances/gr17.tsp;0.95;0.3;3;2163;2085;3.741
instances/gr17.tsp;0.95;0.3;4;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;5;2095;2085;0.4796
instances/gr17.tsp;0.95;0.3;6;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;7;2370;2085;13.6691
instances/gr17.tsp;0.95;0.3;8;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;9;2103;2085;0.8633
instances/gr17.tsp;0.95;0.3;10;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;11;2088;2085;0.1439
instances/gr17.tsp;0.95;0.3;12;2123;2085;1.8225
instances/gr17.tsp;0.95;0.3;13;2163;2085;3.741
instances/gr17.tsp;0.95;0.3;14;2154;2085;3.3094
instances/gr17.tsp;0.95;0.3;15;2120;2085;1.6787
instances/gr17.tsp;0.95;0.3;16;2159;2085;3.5492
instances/gr17.tsp;0.95;0.3;17;2120;2085;1.6787
instances/gr17.tsp;0.95;0.3;18;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;19;2154;2085;3.3094
instances/gr17.tsp;0.95;0.3;20;2123;2085;1.8225
instances/gr17.tsp;0.95;0.3;21;2215;2085;6.235
instances/gr17.tsp;0.95;0.3;22;2123;2085;1.8225
instances/gr17.tsp;0.95;0.3;23;2142;2085;2.7338
instances/gr17.tsp;0.95;0.3;24;2088;2085;0.1439
instances/gr17.tsp;0.95;0.3;25;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;26;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;27;2216;2085;6.283
instances/gr17.tsp;0.95;0.3;28;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;29;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;30;2223;2085;6.6187
instances/dantzig42.tsp;0.95;0.3;1;934;699;33.6195
instances/dantzig42.tsp;0.95;0.3;2;845;699;20.887
instances/dantzig42.tsp;0.95;0.3;3;854;699;22.1745
instances/dantzig42.tsp;0.95;0.3;4;892;699;27.6109
instances/dantzig42.tsp;0.95;0.3;5;1009;699;44.3491
instances/dantzig42.tsp;0.95;0.3;6;893;699;27.7539
instances/dantzig42.tsp;0.95;0.3;7;1053;699;50.6438
instances/dantzig42.tsp;0.95;0.3;8;972;699;39.0558
instances/dantzig42.tsp;0.95;0.3;9;878;699;25.608
instances/dantzig42.tsp;0.95;0.3;10;899;699;28.6123
instances/dantzig42.tsp;0.95;0.3;11;933;699;33.4764
instances/dantzig42.tsp;0.95;0.3;12;870;699;24.4635
instances/dantzig42.tsp;0.95;0.3;13;1026;699;46.7811
instances/dantzig42.tsp;0.95;0.3;14;1057;699;51.216
instances/dantzig42.tsp;0.95;0.3;15;904;699;29.3276
instances/dantzig42.tsp;0.95;0.3;16;854;699;22.1745
instances/dantzig42.tsp;0.95;0.3;17;991;699;41.774
instances/dantzig42.tsp;0.95;0.3;18;850;699;21.6023
instances/dantzig42.tsp;0.95;0.3;19;837;699;19.7425
instances/dantzig42.tsp;0.95;0.3;20;1094;699;56.5093
instances/dantzig42.tsp;0.95;0.3;21;903;699;29.1845
instances/dantzig42.tsp;0.95;0.3;22;1045;699;49.4993
instances/dantzig42.tsp;0.95;0.3;23;916;699;31.0443
instances/dantzig42.tsp;0.95;0.3;24;840;699;20.1717
instances/dantzig42.tsp;0.95;0.3;25;936;699;33.9056
instances/dantzig42.tsp;0.95;0.3;26;918;699;31.3305
instances/dantzig42.tsp;0.95;0.3;27;868;699;24.1774
instances/dantzig42.tsp;0.95;0.3;28;931;699;33.1903
instances/dantzig42.tsp;0.95;0.3;29;874;699;25.0358
instances/dantzig42.tsp;0.95;0.3;30;851;699;21.7454
instances/berlin52.tsp;0.95;0.3;1;10890;7542;44.3914
instances/berlin52.tsp;0.95;0.3;2;9349;7542;23.9592
instances/berlin52.tsp;0.95;0.3;3;10277;7542;36.2636
instances/berlin52.tsp;0.95;0.3;4;9263;7542;22.8189
instances/berlin52.tsp;0.95;0.3;5;10073;7542;33.5587
