instancia;cruzamento;mutacao;execucao;fitness;limite_otimo;erro_relativo_percentual
instances/gr17.tsp;0.95;0.3;1;2103;2085;0.8633
instances/gr17.tsp;0.95;0.3;2;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;3;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;4;2158;2085;3.5012
instances/gr17.tsp;0.95;0.3;5;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;6;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;7;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;8;2142;2085;2.7338
instances/gr17.tsp;0.95;0.3;9;2153;2085;3.2614
instances/gr17.tsp;0.95;0.3;10;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;11;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;12;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;13;2153;2085;3.2614
instances/gr17.tsp;0.95;0.3;14;2103;2085;0.8633
instances/gr17.tsp;0.95;0.3;15;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;16;2088;2085;0.1439
instances/gr17.tsp;0.95;0.3;17;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;18;2123;2085;1.8225
instances/gr17.tsp;0.95;0.3;19;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;20;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;21;2103;2085;0.8633
instances/gr17.tsp;0.95;0.3;22;2136;2085;2.446
instances/gr17.tsp;0.95;0.3;23;2088;2085;0.1439
instances/gr17.tsp;0.95;0.3;24;2151;2085;3.1655
instances/gr17.tsp;0.95;0.3;25;2153;2085;3.2614
instances/gr17.tsp;0.95;0.3;26;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;27;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;28;2136;2085;2.446
instances/gr17.tsp;0.95;0.3;29;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;30;2210;2085;5.9952
instances/dantzig42.tsp;0.95;0.3;1;1044;699;49.3562
instances/dantzig42.tsp;0.95;0.3;2;912;699;30.4721
instances/dantzig42.tsp;0.95;0.3;3;864;699;23.6052
instances/dantzig42.tsp;0.95;0.3;4;1081;699;54.6495
instances/dantzig42.tsp;0.95;0.3;5;1073;699;53.505
instances/dantzig42.tsp;0.95;0.3;6;965;699;38.0544
instances/dantzig42.tsp;0.95;0.3;7;1024;699;46.495
instances/dantzig42.tsp;0.95;0.3;8;977;699;39.7711
instances/dantzig42.tsp;0.95;0.3;9;827;699;18.3119
instances/dantzig42.tsp;0.95;0.3;10;940;699;34.4778
instances/dantzig42.tsp;0.95;0.3;11;970;699;38.7697
instances/dantzig42.tsp;0.95;0.3;12;1131;699;61.8026
instances/dantzig42.tsp;0.95;0.3;13;1124;699;60.8011
instances/dantzig42.tsp;0.95;0.3;14;936;699;33.9056
instances/dantzig42.tsp;0.95;0.3;15;895;699;28.0401
instances/dantzig42.tsp;0.95;0.3;16;1034;699;47.9256
instances/dantzig42.tsp;0.95;0.3;17;897;699;28.3262
instances/dantzig42.tsp;0.95;0.3;18;1015;699;45.2074
instances/dantzig42.tsp;0.95;0.3;19;918;699;31.3305
instances/dantzig42.tsp;0.95;0.3;20;961;699;37.4821
instances/dantzig42.tsp;0.95;0.3;21;1010;699;44.4921
instances/dantzig42.tsp;0.95;0.3;22;1069;699;52.9328
instances/dantzig42.tsp;0.95;0.3;23;1017;699;45.4936
instances/dantzig42.tsp;0.95;0.3;24;927;699;32.618
instances/dantzig42.tsp;0.95;0.3;25;892;699;27.6109
instances/dantzig42.tsp;0.95;0.3;26;1000;699;43.0615
instances/dantzig42.tsp;0.95;0.3;27;796;699;13.877
instances/dantzig42.tsp;0.95;0.3;28;916;699;31.0443
instances/dantzig42.tsp;0.95;0.3;29;1034;699;47.9256
instances/dantzig42.tsp;0.95;0.3;30;919;699;31.4735
instances/berlin52.tsp;0.95;0.3;1;9294;7542;23.2299
instances/berlin52.tsp;0.95;0.3;2;10559;7542;40.0027
instances/berlin52.tsp;0.95;0.3;3;9903;7542;31.3047
instances/berlin52.tsp;0.95;0.3;4;10844;7542;43.7815
instances/berlin52.tsp;0.95;0.3;5;11780;7542;56.192
instances/berlin52.tsp;0.95;0.3;6;9951;7542;31.9411
instances/berlin52.tsp;0.95;0.3;7;11227;7542;48.8597
instances/berlin52.tsp;0.95;0.3;8;12187;7542;61.5884
instances/berlin52.tsp;0.95;0.3;9;9678;7542;28.3214
instances/berlin52.tsp;0.95;0.3;10;10869;7542;44.113
instances/berlin52.tsp;0.95;0.3;11;10144;7542;34.5001
instances/berlin52.tsp;0.95;0.3;12;10943;7542;45.0941
instances/berlin52.tsp;0.95;0.3;13;10522;7542;39.5121
instances/berlin52.tsp;0.95;0.3;14;10410;7542;38.027
instances/berlin52.tsp;0.95;0.3;15;11239;7542;49.0188
instances/berlin52.tsp;0.95;0.3;16;9982;7542;32.3522
instances/berlin52.tsp;0.95;0.3;17;9635;7542;27.7513
instances/berlin52.tsp;0.95;0.3;18;11174;7542;48.157
instances/berlin52.tsp;0.95;0.3;19;9913;7542;31.4373
instances/berlin52.tsp;0.95;0.3;20;10629;7542;40.9308
instances/berlin52.tsp;0.95;0.3;21;9716;7542;28.8252
instances/berlin52.tsp;0.95;0.3;22;10251;7542;35.9189
instances/berlin52.tsp;0.95;0.3;23;10791;7542;43.0788
instances/berlin52.tsp;0.95;0.3;24;10916;7542;44.7361
instances/berlin52.tsp;0.95;0.3;25;11753;7542;55.834
instances/berlin52.tsp;0.95;0.3;26;10295;7542;36.5023
instances/berlin52.tsp;0.95;0.3;27;10737;7542;42.3628
instances/berlin52.tsp;0.95;0.3;28;10874;7542;44.1793
instances/berlin52.tsp;0.95;0.3;29;10332;7542;36.9928
instances/berlin52.tsp;0.95;0.3;30;10840;7542;43.7285
instances/eil76.tsp;0.95;0.3;1;832;538;54.6468
instances/eil76.tsp;0.95;0.3;2;850;538;57.9926
instances/eil76.tsp;0.95;0.3;3;902;538;67.658
instances/eil76.tsp;0.95;0.3;4;902;538;67.658
instances/eil76.tsp;0.95;0.3;5;894;538;66.171
instances/eil76.tsp;0.95;0.3;6;968;538;79.9257
instances/eil76.tsp;0.95;0.3;7;939;538;74.5353
instances/eil76.tsp;0.95;0.3;8;1053;538;95.7249
instances/eil76.tsp;0.95;0.3;9;964;538;79.1822
instances/eil76.tsp;0.95;0.3;10;875;538;62.6394
instances/eil76.tsp;0.95;0.3;11;849;538;57.8067
instances/eil76.tsp;0.95;0.3;12;832;538;54.6468
instances/eil76.tsp;0.95;0.3;13;998;538;85.5019
instances/eil76.tsp;0.95;0.3;14;868;538;61.3383
instances/eil76.tsp;0.95;0.3;15;947;538;76.0223
instances/eil76.tsp;0.95;0.3;16;928;538;72.4907
instances/eil76.tsp;0.95;0.3;17;945;538;75.6506
instances/eil76.tsp;0.95;0.3;18;942;538;75.0929
instances/eil76.tsp;0.95;0.3;19;962;538;78.8104
instances/eil76.tsp;0.95;0.3;20;916;538;70.2602
instances/eil76.tsp;0.95;0.3;21;989;538;83.829
instances/eil76.tsp;0.95;0.3;22;953;538;77.1375
instances/eil76.tsp;0.95;0.3;23;948;538;76.2082
instances/eil76.tsp;0.95;0.3;24;1012;538;88.1041
instances/eil76.tsp;0.95;0.3;25;857;538;59.2937
instances/eil76.tsp;0.95;0.3;26;836;538;55.3903
instances/eil76.tsp;0.95;0.3;27;1013;538;88.29
instances/eil76.tsp;0.95;0.3;28;857;538;59.2937
instances/eil76.tsp;0.95;0.3;29;913;538;69.7026
instances/eil76.tsp;0.95;0.3;30;915;538;70.0743
instances/kroA100.tsp;0.95;0.3;1;54453;21282;155.8641
instances/kroA100.tsp;0.95;0.3;2;53437;21282;151.0901
instances/kroA100.tsp;0.95;0.3;3;53188;21282;149.9201
instances/kroA100.tsp;0.95;0.3;4;51945;21282;144.0795
instances/kroA100.tsp;0.95;0.3;5;52698;21282;147.6177
instances/kroA100.tsp;0.95;0.3;6;49179;21282;131.0826
instances/kroA100.tsp;0.95;0.3;7;49620;21282;133.1548
instances/kroA100.tsp;0.95;0.3;8;51202;21282;140.5883
instances/kroA100.tsp;0.95;0.3;9;50395;21282;136.7964
instances/kroA100.tsp;0.95;0.3;10;52813;21282;148.1581
instances/kroA100.tsp;0.95;0.3;11;51252;21282;140.8232
instances/kroA100.tsp;0.95;0.3;12;52246;21282;145.4938
instances/kroA100.tsp;0.95;0.3;13;45553;21282;114.0447
instances/kroA100.tsp;0.95;0.3;14;50720;21282;138.3235
instances/kroA100.tsp;0.95;0.3;15;54490;21282;156.038
instances/kroA100.tsp;0.95;0.3;16;47861;21282;124.8896
instances/kroA100.tsp;0.95;0.3;17;55604;21282;161.2724
instances/kroA100.tsp;0.95;0.3;18;52989;21282;148.9851
instances/kroA100.tsp;0.95;0.3;19;53167;21282;149.8214
instances/kroA100.tsp;0.95;0.3;20;54463;21282;155.9111
instances/kroA100.tsp;0.95;0.3;21;52960;21282;148.8488
instances/kroA100.tsp;0.95;0.3;22;50428;21282;136.9514
instances/kroA100.tsp;0.95;0.3;23;55543;21282;160.9858
instances/kroA100.tsp;0.95;0.3;24;53175;21282;149.859
instances/kroA100.tsp;0.95;0.3;25;53108;21282;149.5442
instances/kroA100.tsp;0.95;0.3;26;52745;21282;147.8385
instances/kroA100.tsp;0.95;0.3;27;50926;21282;139.2914
instances/kroA100.tsp;0.95;0.3;28;59549;21282;179.8092
instances/kroA100.tsp;0.95;0.3;29;55273;21282;159.7171
instances/kroA100.tsp;0.95;0.3;30;50976;21282;139.5264
