instancia;cruzamento;mutacao;execucao;fitness;limite_otimo;erro_relativo_percentual
instances/gr17.tsp;0.7;0.01;1;2142;2085;2.7338
instances/gr17.tsp;0.7;0.01;2;2159;2085;3.5492
instances/gr17.tsp;0.7;0.01;3;2184;2085;4.7482
instances/gr17.tsp;0.7;0.01;4;2095;2085;0.4796
instances/gr17.tsp;0.7;0.01;5;2103;2085;0.8633
instances/gr17.tsp;0.7;0.01;6;2224;2085;6.6667
instances/gr17.tsp;0.7;0.01;7;2090;2085;0.2398
instances/gr17.tsp;0.7;0.01;8;2245;2085;7.6739
instances/gr17.tsp;0.7;0.01;9;2129;2085;2.1103
instances/gr17.tsp;0.7;0.01;10;2090;2085;0.2398
instances/gr17.tsp;0.7;0.01;11;2154;2085;3.3094
instances/gr17.tsp;0.7;0.01;12;2239;2085;7.3861
instances/gr17.tsp;0.7;0.01;13;2154;2085;3.3094
instances/gr17.tsp;0.7;0.01;14;2103;2085;0.8633
instances/gr17.tsp;0.7;0.01;15;2158;2085;3.5012
instances/gr17.tsp;0.7;0.01;16;2187;2085;4.8921
instances/gr17.tsp;0.7;0.01;17;2095;2085;0.4796
instances/gr17.tsp;0.7;0.01;18;2095;2085;0.4796
instances/gr17.tsp;0.7;0.01;19;2103;2085;0.8633
instances/gr17.tsp;0.7;0.01;20;2095;2085;0.4796
instances/gr17.tsp;0.7;0.01;21;2370;2085;13.6691
instances/gr17.tsp;0.7;0.01;22;2151;2085;3.1655
instances/gr17.tsp;0.7;0.01;23;2095;2085;0.4796
instances/gr17.tsp;0.7;0.01;24;2098;2085;0.6235
instances/gr17.tsp;0.7;0.01;25;2151;2085;3.1655
instances/gr17.tsp;0.7;0.01;26;2085;2085;0.0
instances/gr17.tsp;0.7;0.01;27;2187;2085;4.8921
instances/gr17.tsp;0.7;0.01;28;2123;2085;1.8225
instances/gr17.tsp;0.7;0.01;29;2167;2085;3.9329
instances/gr17.tsp;0.7;0.01;30;2120;2085;1.6787
instances/gr17.tsp;0.7;0.03;1;2153;2085;3.2614
instances/gr17.tsp;0.7;0.03;2;2123;2085;1.8225
instances/gr17.tsp;0.7;0.03;3;2085;2085;0.0
instances/gr17.tsp;0.7;0.03;4;2085;2085;0.0
instances/gr17.tsp;0.7;0.03;5;2103;2085;0.8633
instances/gr17.tsp;0.7;0.03;6;2085;2085;0.0
instances/gr17.tsp;0.7;0.03;7;2085;2085;0.0
instances/gr17.tsp;0.7;0.03;8;2085;2085;0.0
instances/gr17.tsp;0.7;0.03;9;2085;2085;0.0
instances/gr17.tsp;0.7;0.03;10;2085;2085;0.0
instances/gr17.tsp;0.7;0.03;11;2136;2085;2.446
instances/gr17.tsp;0.7;0.03;12;2085;2085;0.0
instances/gr17.tsp;0.7;0.03;13;2153;2085;3.2614
instances/gr17.tsp;0.7;0.03;14;2103;2085;0.8633
