instancia;cruzamento;mutacao;execucao;fitness;limite_otimo;erro_relativo_percentual
instances/gr17.tsp;0.7;0.01;1;2206;2085;5.8034
instances/gr17.tsp;0.7;0.01;2;2088;2085;0.1439
instances/gr17.tsp;0.7;0.01;3;2159;2085;3.5492
instances/gr17.tsp;0.7;0.01;4;2248;2085;7.8177
instances/gr17.tsp;0.7;0.01;5;2088;2085;0.1439
instances/gr17.tsp;0.7;0.01;6;2095;2085;0.4796
instances/gr17.tsp;0.7;0.01;7;2232;2085;7.0504
instances/gr17.tsp;0.7;0.01;8;2182;2085;4.6523
instances/gr17.tsp;0.7;0.01;9;2136;2085;2.446
instances/gr17.tsp;0.7;0.01;10;2236;2085;7.2422
instances/gr17.tsp;0.7;0.01;11;2129;2085;2.1103
instances/gr17.tsp;0.7;0.01;12;2103;2085;0.8633
instances/gr17.tsp;0.7;0.01;13;2209;2085;5.9472
instances/gr17.tsp;0.7;0.01;14;2248;2085;7.8177
instances/gr17.tsp;0.7;0.01;15;2274;2085;9.0647
instances/gr17.tsp;0.7;0.01;16;2153;2085;3.2614
instances/gr17.tsp;0.7;0.01;17;2206;2085;5.8034
instances/gr17.tsp;0.7;0.01;18;2172;2085;4.1727
instances/gr17.tsp;0.7;0.01;19;2242;2085;7.53
instances/gr17.tsp;0.7;0.01;20;2184;2085;4.7482
instances/gr17.tsp;0.7;0.01;21;2223;2085;6.6187
instances/gr17.tsp;0.7;0.01;22;2095;2085;0.4796
instances/gr17.tsp;0.7;0.01;23;2189;2085;4.988
instances/gr17.tsp;0.7;0.01;24;2213;2085;6.1391
instances/gr17.tsp;0.7;0.01;25;2223;2085;6.6187
instances/gr17.tsp;0.7;0.01;26;2197;2085;5.3717
instances/gr17.tsp;0.7;0.01;27;2167;2085;3.9329
instances/gr17.tsp;0.7;0.01;28;2246;2085;7.7218
instances/gr17.tsp;0.7;0.01;29;2099;2085;0.6715
instances/gr17.tsp;0.7;0.01;30;2095;2085;0.4796
instances/gr17.tsp;0.7;0.03;1;2090;2085;0.2398
instances/gr17.tsp;0.7;0.03;2;2172;2085;4.1727
instances/gr17.tsp;0.7;0.03;3;2159;2085;3.5492
instances/gr17.tsp;0.7;0.03;4;2154;2085;3.3094
instances/gr17.tsp;0.7;0.03;5;2142;2085;2.7338
instances/gr17.tsp;0.7;0.03;6;2085;2085;0.0
instances/gr17.tsp;0.7;0.03;7;2153;2085;3.2614
instances/gr17.tsp;0.7;0.03;8;2090;2085;0.2398
instances/gr17.tsp;0.7;0.03;9;2103;2085;0.8633
instances/gr17.tsp;0.7;0.03;10;2181;2085;4.6043
instances/gr17.tsp;0.7;0.03;11;2123;2085;1.8225
instances/gr17.tsp;0.7;0.03;12;2181;2085;4.6043
instances/gr17.tsp;0.7;0.03;13;2103;2085;0.8633
instances/gr17.tsp;0.7;0.03;14;2187;2085;4.8921
instances/gr17.tsp;0.7;0.03;15;2220;2085;6.4748
instances/gr17.tsp;0.7;0.03;16;2153;2085;3.2614
instances/gr17.tsp;0.7;0.03;17;2155;2085;3.3573
instances/gr17.tsp;0.7;0.03;18;2151;2085;3.1655
instances/gr17.tsp;0.7;0.03;19;2192;2085;5.1319
instances/gr17.tsp;0.7;0.03;20;2095;2085;0.4796
instances/gr17.tsp;0.7;0.03;21;2184;2085;4.7482
instances/gr17.tsp;0.7;0.03;22;2151;2085;3.1655
instances/gr17.tsp;0.7;0.03;23;2153;2085;3.2614
instances/gr17.tsp;0.7;0.03;24;2136;2085;2.446
instances/gr17.tsp;0.7;0.03;25;2164;2085;3.789
instances/gr17.tsp;0.7;0.03;26;2136;2085;2.446
instances/gr17.tsp;0.7;0.03;27;2098;2085;0.6235
instances/gr17.tsp;0.7;0.03;28;2090;2085;0.2398
instances/gr17.tsp;0.7;0.03;29;2090;2085;0.2398
instances/gr17.tsp;0.7;0.03;30;2321;2085;11.3189
instances/gr17.tsp;0.7;0.05;1;2190;2085;5.036
instances/gr17.tsp;0.7;0.05;2;2088;2085;0.1439
instances/gr17.tsp;0.7;0.05;3;2123;2085;1.8225
instances/gr17.tsp;0.7;0.05;4;2214;2085;6.1871
instances/gr17.tsp;0.7;0.05;5;2103;2085;0.8633
instances/gr17.tsp;0.7;0.05;6;2250;2085;7.9137
instances/gr17.tsp;0.7;0.05;7;2153;2085;3.2614
instances/gr17.tsp;0.7;0.05;8;2188;2085;4.94
instances/gr17.tsp;0.7;0.05;9;2187;2085;4.8921
instances/gr17.tsp;0.7;0.05;10;2224;2085;6.6667
instances/gr17.tsp;0.7;0.05;11;2250;2085;7.9137
instances/gr17.tsp;0.7;0.05;12;2098;2085;0.6235
instances/gr17.tsp;0.7;0.05;13;2123;2085;1.8225
instances/gr17.tsp;0.7;0.05;14;2189;2085;4.988
instances/gr17.tsp;0.7;0.05;15;2103;2085;0.8633
instances/gr17.tsp;0.7;0.05;16;2159;2085;3.5492
instances/gr17.tsp;0.7;0.05;17;2159;2085;3.5492
instances/gr17.tsp;0.7;0.05;18;2098;2085;0.6235
instances/gr17.tsp;0.7;0.05;19;2187;2085;4.8921
instances/gr17.tsp;0.7;0.05;20;2146;2085;2.9257
instances/gr17.tsp;0.7;0.05;21;2198;2085;5.4197
instances/gr17.tsp;0.7;0.05;22;2103;2085;0.8633
instances/gr17.tsp;0.7;0.05;23;2088;2085;0.1439
instances/gr17.tsp;0.7;0.05;24;2085;2085;0.0
instances/gr17.tsp;0.7;0.05;25;2103;2085;0.8633
instances/gr17.tsp;0.7;0.05;26;2164;2085;3.789
instances/gr17.tsp;0.7;0.05;27;2187;2085;4.8921
instances/gr17.tsp;0.7;0.05;28;2085;2085;0.0
instances/gr17.tsp;0.7;0.05;29;2123;2085;1.8225
instances/gr17.tsp;0.7;0.05;30;2156;2085;3.4053
instances/gr17.tsp;0.8;0.01;1;2120;2085;1.6787
instances/gr17.tsp;0.8;0.01;2;2201;2085;5.5635
instances/gr17.tsp;0.8;0.01;3;2153;2085;3.2614
instances/gr17.tsp;0.8;0.01;4;2188;2085;4.94
instances/gr17.tsp;0.8;0.01;5;2085;2085;0.0
instances/gr17.tsp;0.8;0.01;6;2188;2085;4.94
instances/gr17.tsp;0.8;0.01;7;2335;2085;11.9904
instances/gr17.tsp;0.8;0.01;8;2167;2085;3.9329
instances/gr17.tsp;0.8;0.01;9;2166;2085;3.8849
instances/gr17.tsp;0.8;0.01;10;2159;2085;3.5492
instances/gr17.tsp;0.8;0.01;11;2085;2085;0.0
instances/gr17.tsp;0.8;0.01;12;2123;2085;1.8225
instances/gr17.tsp;0.8;0.01;13;2171;2085;4.1247
instances/gr17.tsp;0.8;0.01;14;2213;2085;6.1391
instances/gr17.tsp;0.8;0.01;15;2151;2085;3.1655
instances/gr17.tsp;0.8;0.01;16;2103;2085;0.8633
instances/gr17.tsp;0.8;0.01;17;2149;2085;3.0695
instances/gr17.tsp;0.8;0.01;18;2142;2085;2.7338
instances/gr17.tsp;0.8;0.01;19;2208;2085;5.8993
instances/gr17.tsp;0.8;0.01;20;2215;2085;6.235
instances/gr17.tsp;0.8;0.01;21;2197;2085;5.3717
instances/gr17.tsp;0.8;0.01;22;2184;2085;4.7482
instances/gr17.tsp;0.8;0.01;23;2151;2085;3.1655
instances/gr17.tsp;0.8;0.01;24;2153;2085;3.2614
instances/gr17.tsp;0.8;0.01;25;2244;2085;7.6259
instances/gr17.tsp;0.8;0.01;26;2205;2085;5.7554
instances/gr17.tsp;0.8;0.01;27;2235;2085;7.1942
instances/gr17.tsp;0.8;0.01;28;2187;2085;4.8921
instances/gr17.tsp;0.8;0.01;29;2219;2085;6.4269
instances/gr17.tsp;0.8;0.01;30;2151;2085;3.1655
instances/gr17.tsp;0.8;0.03;1;2159;2085;3.5492
instances/gr17.tsp;0.8;0.03;2;2168;2085;3.9808
instances/gr17.tsp;0.8;0.03;3;2103;2085;0.8633
instances/gr17.tsp;0.8;0.03;4;2123;2085;1.8225
instances/gr17.tsp;0.8;0.03;5;2153;2085;3.2614
instances/gr17.tsp;0.8;0.03;6;2175;2085;4.3165
instances/gr17.tsp;0.8;0.03;7;2218;2085;6.3789
instances/gr17.tsp;0.8;0.03;8;2090;2085;0.2398
instances/gr17.tsp;0.8;0.03;9;2153;2085;3.2614
instances/gr17.tsp;0.8;0.03;10;2181;2085;4.6043
instances/gr17.tsp;0.8;0.03;11;2172;2085;4.1727
instances/gr17.tsp;0.8;0.03;12;2158;2085;3.5012
instances/gr17.tsp;0.8;0.03;13;2159;2085;3.5492
instances/gr17.tsp;0.8;0.03;14;2103;2085;0.8633
instances/gr17.tsp;0.8;0.03;15;2220;2085;6.4748
instances/gr17.tsp;0.8;0.03;16;2153;2085;3.2614
instances/gr17.tsp;0.8;0.03;17;2103;2085;0.8633
instances/gr17.tsp;0.8;0.03;18;2120;2085;1.6787
instances/gr17.tsp;0.8;0.03;19;2171;2085;4.1247
instances/gr17.tsp;0.8;0.03;20;2159;2085;3.5492
instances/gr17.tsp;0.8;0.03;21;2158;2085;3.5012
instances/gr17.tsp;0.8;0.03;22;2188;2085;4.94
instances/gr17.tsp;0.8;0.03;23;2146;2085;2.9257
instances/gr17.tsp;0.8;0.03;24;2154;2085;3.3094
instances/gr17.tsp;0.8;0.03;25;2192;2085;5.1319
instances/gr17.tsp;0.8;0.03;26;2192;2085;5.1319
instances/gr17.tsp;0.8;0.03;27;2226;2085;6.7626
instances/gr17.tsp;0.8;0.03;28;2163;2085;3.741
instances/gr17.tsp;0.8;0.03;29;2269;2085;8.8249
instances/gr17.tsp;0.8;0.03;30;2157;2085;3.4532
instances/gr17.tsp;0.8;0.05;1;2146;2085;2.9257
instances/gr17.tsp;0.8;0.05;2;2095;2085;0.4796
instances/gr17.tsp;0.8;0.05;3;2103;2085;0.8633
instances/gr17.tsp;0.8;0.05;4;2154;2085;3.3094
instances/gr17.tsp;0.8;0.05;5;2161;2085;3.6451
instances/gr17.tsp;0.8;0.05;6;2142;2085;2.7338
instances/gr17.tsp;0.8;0.05;7;2098;2085;0.6235
instances/gr17.tsp;0.8;0.05;8;2085;2085;0.0
instances/gr17.tsp;0.8;0.05;9;2151;2085;3.1655
instances/gr17.tsp;0.8;0.05;10;2151;2085;3.1655
instances/gr17.tsp;0.8;0.05;11;2159;2085;3.5492
instances/gr17.tsp;0.8;0.05;12;2098;2085;0.6235
instances/gr17.tsp;0.8;0.05;13;2233;2085;7.0983
instances/gr17.tsp;0.8;0.05;14;2170;2085;4.0767
instances/gr17.tsp;0.8;0.05;15;2103;2085;0.8633
instances/gr17.tsp;0.8;0.05;16;2205;2085;5.7554
instances/gr17.tsp;0.8;0.05;17;2287;2085;9.6882
instances/gr17.tsp;0.8;0.05;18;2085;2085;0.0
instances/gr17.tsp;0.8;0.05;19;2095;2085;0.4796
instances/gr17.tsp;0.8;0.05;20;2210;2085;5.9952
instances/gr17.tsp;0.8;0.05;21;2103;2085;0.8633
instances/gr17.tsp;0.8;0.05;22;2098;2085;0.6235
instances/gr17.tsp;0.8;0.05;23;2184;2085;4.7482
instances/gr17.tsp;0.8;0.05;24;2211;2085;6.0432
instances/gr17.tsp;0.8;0.05;25;2151;2085;3.1655
instances/gr17.tsp;0.8;0.05;26;2155;2085;3.3573
instances/gr17.tsp;0.8;0.05;27;2156;2085;3.4053
instances/gr17.tsp;0.8;0.05;28;2095;2085;0.4796
instances/gr17.tsp;0.8;0.05;29;2228;2085;6.8585
instances/gr17.tsp;0.8;0.05;30;2154;2085;3.3094
instances/gr17.tsp;0.95;0.01;1;2226;2085;6.7626
instances/gr17.tsp;0.95;0.01;2;2103;2085;0.8633
instances/gr17.tsp;0.95;0.01;3;2226;2085;6.7626
instances/gr17.tsp;0.95;0.01;4;2090;2085;0.2398
instances/gr17.tsp;0.95;0.01;5;2136;2085;2.446
