instancia;cruzamento;mutacao;execucao;fitness;limite_otimo;erro_relativo_percentual
instances/gr17.tsp;0.95;0.3;1;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;2;2154;2085;3.3094
instances/gr17.tsp;0.95;0.3;3;2163;2085;3.741
instances/gr17.tsp;0.95;0.3;4;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;5;2095;2085;0.4796
instances/gr17.tsp;0.95;0.3;6;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;7;2370;2085;13.6691
instances/gr17.tsp;0.95;0.3;8;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;9;2103;2085;0.8633
instances/gr17.tsp;0.95;0.3;10;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;11;2088;2085;0.1439
instances/gr17.tsp;0.95;0.3;12;2123;2085;1.8225
instances/gr17.tsp;0.95;0.3;13;2163;2085;3.741
instances/gr17.tsp;0.95;0.3;14;2154;2085;3.3094
instances/gr17.tsp;0.95;0.3;15;2120;2085;1.6787
instances/gr17.tsp;0.95;0.3;16;2159;2085;3.5492
instances/gr17.tsp;0.95;0.3;17;2120;2085;1.6787
instances/gr17.tsp;0.95;0.3;18;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;19;2154;2085;3.3094
instances/gr17.tsp;0.95;0.3;20;2123;2085;1.8225
instances/gr17.tsp;0.95;0.3;21;2215;2085;6.235
instances/gr17.tsp;0.95;0.3;22;2123;2085;1.8225
instances/gr17.tsp;0.95;0.3;23;2142;2085;2.7338
instances/gr17.tsp;0.95;0.3;24;2088;2085;0.1439
instances/gr17.tsp;0.95;0.3;25;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;26;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;27;2216;2085;6.283
instances/gr17.tsp;0.95;0.3;28;2090;2085;0.2398
instances/gr17.tsp;0.95;0.3;29;2085;2085;0.0
instances/gr17.tsp;0.95;0.3;30;2223;2085;6.6187
instances/gr21.tsp;0.95;0.3;1;3152;2707;16.4389
instances/gr21.tsp;0.95;0.3;2;3213;2707;18.6923
instances/gr21.tsp;0.95;0.3;3;3104;2707;14.6657
instances/gr21.tsp;0.95;0.3;4;3063;2707;13.1511
instances/gr21.tsp;0.95;0.3;5;2707;2707;0.0
instances/gr21.tsp;0.95;0.3;6;2795;2707;3.2508
instances/gr21.tsp;0.95;0.3;7;3182;2707;17.5471
instances/gr21.tsp;0.95;0.3;8;2707;2707;0.0
instances/gr21.tsp;0.95;0.3;9;2707;2707;0.0
instances/gr21.tsp;0.95;0.3;10;3168;2707;17.0299
instances/gr21.tsp;0.95;0.3;11;2924;2707;8.0163
instances/gr21.tsp;0.95;0.3;12;3251;2707;20.096
instances/gr21.tsp;0.95;0.3;13;3205;2707;18.3967
instances/gr21.tsp;0.95;0.3;14;3107;2707;14.7765
instances/gr21.tsp;0.95;0.3;15;2707;2707;0.0
instances/gr21.tsp;0.95;0.3;16;2833;2707;4.6546
instances/gr21.tsp;0.95;0.3;17;2877;2707;6.28
instances/gr21.tsp;0.95;0.3;18;3311;2707;22.3125
instances/gr21.tsp;0.95;0.3;19;2707;2707;0.0
instances/gr21.tsp;0.95;0.3;20;3031;2707;11.969
instances/gr21.tsp;0.95;0.3;21;3499;2707;29.2575
instances/gr21.tsp;0.95;0.3;22;3007;2707;11.0824
instances/gr21.tsp;0.95;0.3;23;2877;2707;6.28
instances/gr21.tsp;0.95;0.3;24;2991;2707;10.4913
instances/gr21.tsp;0.95;0.3;25;2801;2707;3.4725
instances/gr21.tsp;0.95;0.3;26;2915;2707;7.6838
instances/gr21.tsp;0.95;0.3;27;2795;2707;3.2508
instances/gr21.tsp;0.95;0.3;28;2707;2707;0.0
instances/gr21.tsp;0.95;0.3;29;2707;2707;0.0
instances/gr21.tsp;0.95;0.3;30;2801;2707;3.4725
instances/gr24.tsp;0.95;0.3;1;1400;1272;10.0629
instances/gr24.tsp;0.95;0.3;2;1363;1272;7.1541
instances/gr24.tsp;0.95;0.3;3;1570;1272;23.4277
instances/gr24.tsp;0.95;0.3;4;1598;1272;25.6289
instances/gr24.tsp;0.95;0.3;5;1484;1272;16.6667
instances/gr24.tsp;0.95;0.3;6;1428;1272;12.2642
