instancia;cruzamento;mutacao;execucao;fitness;limite_otimo;erro_relativo_percentual
instances/gr17.tsp;0.95;0.004;1;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;2;2085;2085;0.0
instances/gr17.tsp;0.95;0.004;3;2088;2085;0.1439
instances/gr17.tsp;0.95;0.004;4;2085;2085;0.0
instances/gr17.tsp;0.95;0.004;5;2085;2085;0.0
instances/gr17.tsp;0.95;0.004;6;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;7;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;8;2085;2085;0.0
instances/gr17.tsp;0.95;0.004;9;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;10;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;11;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;12;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;13;2085;2085;0.0
instances/gr17.tsp;0.95;0.004;14;2085;2085;0.0
instances/gr17.tsp;0.95;0.004;15;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;16;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;17;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;18;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;19;2088;2085;0.1439
instances/gr17.tsp;0.95;0.004;20;2085;2085;0.0
instances/gr17.tsp;0.95;0.004;21;2095;2085;0.4796
instances/gr17.tsp;0.95;0.004;22;2085;2085;0.0
instances/gr17.tsp;0.95;0.004;23;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;24;2085;2085;0.0
instances/gr17.tsp;0.95;0.004;25;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;26;2085;2085;0.0
instances/gr17.tsp;0.95;0.004;27;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;28;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;29;2090;2085;0.2398
instances/gr17.tsp;0.95;0.004;30;2085;2085;0.0
instances/dantzig42.tsp;0.95;0.004;1;710;699;1.5737
instances/dantzig42.tsp;0.95;0.004;2;714;699;2.1459
instances/dantzig42.tsp;0.95;0.004;3;738;699;5.5794
instances/dantzig42.tsp;0.95;0.004;4;701;699;0.2861
instances/dantzig42.tsp;0.95;0.004;5;724;699;3.5765
instances/dantzig42.tsp;0.95;0.004;6;708;699;1.2876
instances/dantzig42.tsp;0.95;0.004;7;730;699;4.4349
instances/dantzig42.tsp;0.95;0.004;8;708;699;1.2876
instances/dantzig42.tsp;0.95;0.004;9;708;699;1.2876
instances/dantzig42.tsp;0.95;0.004;10;707;699;1.1445
instances/dantzig42.tsp;0.95;0.004;11;709;699;1.4306
instances/dantzig42.tsp;0.95;0.004;12;704;699;0.7153
instances/dantzig42.tsp;0.95;0.004;13;739;699;5.7225
instances/dantzig42.tsp;0.95;0.004;14;712;699;1.8598
instances/dantzig42.tsp;0.95;0.004;15;701;699;0.2861
instances/dantzig42.tsp;0.95;0.004;16;701;699;0.2861
instances/dantzig42.tsp;0.95;0.004;17;707;699;1.1445
instances/dantzig42.tsp;0.95;0.004;18;716;699;2.432
instances/dantzig42.tsp;0.95;0.004;19;716;699;2.432
instances/dantzig42.tsp;0.95;0.004;20;708;699;1.2876
instances/dantzig42.tsp;0.95;0.004;21;724;699;3.5765
instances/dantzig42.tsp;0.95;0.004;22;712;699;1.8598
instances/dantzig42.tsp;0.95;0.004;23;716;699;2.432
instances/dantzig42.tsp;0.95;0.004;24;699;699;0.0
instances/dantzig42.tsp;0.95;0.004;25;707;699;1.1445
instances/dantzig42.tsp;0.95;0.004;26;705;699;0.8584
instances/dantzig42.tsp;0.95;0.004;27;729;699;4.2918
instances/dantzig42.tsp;0.95;0.004;28;736;699;5.2933
instances/dantzig42.tsp;0.95;0.004;29;709;699;1.4306
instances/dantzig42.tsp;0.95;0.004;30;717;699;2.5751
instances/berlin52.tsp;0.95;0.004;1;8005;7542;6.139
instances/berlin52.tsp;0.95;0.004;2;7946;7542;5.3567
instances/berlin52.tsp;0.95;0.004;3;8032;7542;6.497
instances/berlin52.tsp;0.95;0.004;4;7774;7542;3.0761
instances/berlin52.tsp;0.95;0.004;5;7695;7542;2.0286
instances/berlin52.tsp;0.95;0.004;6;7941;7542;5.2904
instances/berlin52.tsp;0.95;0.004;7;7848;7542;4.0573
instances/berlin52.tsp;0.95;0.004;8;7850;7542;4.0838
instances/berlin52.tsp;0.95;0.004;9;7708;7542;2.201
instances/berlin52.tsp;0.95;0.004;10;7793;7542;3.328
instances/berlin52.tsp;0.95;0.004;11;8020;7542;6.3378
instances/berlin52.tsp;0.95;0.004;12;7974;7542;5.7279
instances/berlin52.tsp;0.95;0.004;13;7542;7542;0.0
instances/berlin52.tsp;0.95;0.004;14;7998;7542;6.0461
instances/berlin52.tsp;0.95;0.004;15;7663;7542;1.6043
instances/berlin52.tsp;0.95;0.004;16;7618;7542;1.0077
instances/berlin52.tsp;0.95;0.004;17;7715;7542;2.2938
instances/berlin52.tsp;0.95;0.004;18;7542;7542;0.0
instances/berlin52.tsp;0.95;0.004;19;7682;7542;1.8563
instances/berlin52.tsp;0.95;0.004;20;7775;7542;3.0894
instances/berlin52.tsp;0.95;0.004;21;8169;7542;8.3134
